id,name,lat,lon,tipo,accessibility_score,flood_risk
osm_6603756272,OSM Node 6603756272,-23.5495748,-46.6299705,onibus,0.5,0
osm_6605998461,OSM Node 6605998461,-23.5466948,-46.6164253,onibus,0.5,0
osm_6605998462,OSM Node 6605998462,-23.5471625,-46.6157546,onibus,0.5,0
osm_6605998463,OSM Node 6605998463,-23.5470363,-46.6158302,onibus,0.5,0
osm_6605998464,OSM Node 6605998464,-23.5485167,-46.6161442,onibus,0.5,0
osm_6633613180,OSM Node 6633613180,-23.5229034,-46.6235852,onibus,0.5,0
osm_6740056839,OSM Node 6740056839,-23.5419121,-46.6422681,onibus,0.5,0
osm_6812196695,OSM Node 6812196695,-23.5415099,-46.6169685,onibus,0.5,0
osm_6886525642,OSM Node 6886525642,-23.5487884,-46.6437692,onibus,0.5,0
osm_6900260443,OSM Node 6900260443,-23.5373518,-46.6137653,onibus,0.5,0
osm_6906798245,OSM Node 6906798245,-23.5402311,-46.6140252,onibus,0.5,0
osm_6906875260,OSM Node 6906875260,-23.5354832,-46.635094,onibus,0.5,0
osm_6906875264,OSM Node 6906875264,-23.5355723,-46.6347336,onibus,0.5,0
osm_6906875266,OSM Node 6906875266,-23.5356463,-46.634434,onibus,0.5,0
osm_6920609115,OSM Node 6920609115,-23.5196103,-46.6020219,onibus,0.5,0
osm_6920609119,OSM Node 6920609119,-23.5198028,-46.6015478,onibus,0.5,0
osm_6967609378,OSM Node 6967609378,-23.5387957,-46.6052669,onibus,0.5,0
osm_7053106074,OSM Node 7053106074,-23.5170858,-46.6050003,onibus,0.5,0
osm_7089672115,OSM Node 7089672115,-23.5002691,-46.6159394,onibus,0.5,0
osm_7089672154,OSM Node 7089672154,-23.5000403,-46.617825,onibus,0.5,0
