id,name,lat,lon,tipo
509053,"Av. Prof. Edgar Santos, 363",-23.548301,-46.498301,onibus
509058,"R. Dr. Campos Moura, 311",-23.541972,-46.483879,onibus
509059,"R. Dr. Campos Moura, 341",-23.54211,-46.483763,onibus
509060,"Av. Prof. Edgar Santos, 27",-23.54735,-46.501417,onibus
509061,"Av. Prof. Edgar Santos, 148",-23.547856,-46.500324,onibus
509062,"Av. Prof. Edgar Santos, 703",-23.550351,-46.495579,onibus
509063,"Av. Prof. Edgar Santos, 550",-23.549726,-46.496931,onibus
509064,"Av. Prof. Edgar Santos, 906",-23.551575,-46.494245,onibus
509066,"R. Dejanira, 118",-23.549461,-46.492072,onibus
509067,"R. Gabriel Angler, 75",-23.549112,-46.490321,onibus
509069,"R. Susana Dacre, 74",-23.547924,-46.490682,onibus
509070,"R. Susana Dacre, 66",-23.547839,-46.49153,onibus
509071,"R. Franca Alencar, 12",-23.547656,-46.491824,onibus
509072,"R. Gabriel Angler, 75",-23.549047,-46.490234,onibus
509073,"R. Des. Carneiro Ribeiro, 875",-23.5463,-46.490938,onibus
509074,"Av. Antônio Estevão De Carvalho, 2711",-23.534126,-46.499783,onibus
509075,"R. Adriano Rainaldi, 29",-23.548206,-46.490542,onibus
509076,"R. Vidal Prader, 94",-23.548727,-46.490723,onibus
509077,"Av. Hermilo Alves, 1105",-23.532626,-46.488098,onibus
509078,"R. Dr. Campos Moura, 158",-23.54062,-46.485072,onibus
509079,"R. Peixoto Werneck, 77",-23.540151,-46.486183,onibus
509082,"R. Pierre Jannsen, 171",-23.529759,-46.476153,onibus
509083,"Av. Frederick Hoffman, 126",-23.530103,-46.476875,onibus
509084,"R. Dr. Luiz Aires, 1136",-23.535972,-46.491263,onibus
509085,"R. Dr. Luiz Aires, 1261",-23.535774,-46.489881,onibus
509086,"R. Dr. Luiz Aires, 4045",-23.543211,-46.469493,onibus
509088,"R. Dr. Moacir Tavolaro, 1",-23.538641,-46.488111,onibus
509089,"R. Henrique Jacobs, 600",-23.540766,-46.49274,onibus
509090,"R. José Francisco Lopes, 383",-23.545748,-46.496924,onibus
509091,"R. José Francisco Lopes, 199",-23.545319,-46.498335,onibus
509092,"R. Dr. Nelson Madureira, 704",-23.546675,-46.499228,onibus
509093,"R. Dr. Nelson Madureira, 877",-23.547658,-46.497852,onibus
509094,"R. Tibaldo Pereira, 144",-23.547188,-46.4964,onibus
509095,Av. José Pinheiro Borges,-23.539219,-46.471451,onibus
509096,"R. S. Vitório, 505",-23.547449,-46.495857,onibus
509098,"R. S. Vitório, 520",-23.547713,-46.496034,onibus
509099,"R. Dr. Luiz Aires, 3092",-23.54356,-46.475903,onibus
509102,"R. Marciano Capella, 667",-23.533257,-46.490028,onibus
509110,"Av. José Pinheiro Borges, 4",-23.53841,-46.424365,onibus
509111,"Av. Esperantina, 1311",-23.535409,-46.475164,onibus
509112,"Av. Esperantina, 1311",-23.535409,-46.475164,onibus
600487,"R. Min. Godoy, 376",-23.532863,-46.669247,onibus
600539,"R. Traipu, 19",-23.53247,-46.662127,onibus
